Data set para el tp1 ;;;;;;
Estos datos fueron estimados en el año 2022;;;;;;
;;;;;;
PROVINCIa;población (miles);hogares (miles);ingresos laborales (miles pesos);tasa de empleo (%);superficie (km2);exportaciones (mill usd)
Ciudad Autónoma de Buenos Aires;3.004;1.263;211.877.384;4,7;205,9;311,163
Buenos Aires;17.292;5.738;623.250.917;8,7;305.907,40;33024,657
Catamarca;336;102;8.460.986;7,3;101.486,10;201,03
Chaco;3.477;1.251;122.790.341;6,5;99.763,30;516,336
Chubut;967;287;24.733.558;5,3;224.302,30;2575,372
Córdoba;1.044;321;22.744.468;2,6;164.707,80;12851,979
Corrientes;591;205;30.606.036;3,6;89.123,30;273,185
Entre Ríos;1.252;431;40.510.249;6,4;78.383,70;1911,902
Formosa;509;148;9.586.123;3,3;75.488,30;40,614
Jujuy;696;197;17.044.750;5,1;53.244,20;873,44
La Pampa;317;116;12.180.994;6,9;143.492,50;1205,864
La Rioja;356;108;8.646.574;4,5;91.493,70;186,786
Mendoza;1.668;535;51.306.457;6,2;149.069,20;1601,428
Misiones;1.003;342;29.639.104;3,3;29.911,40;438,241
Neuquén;612;204;28.573.541;5;94.422;2912,27
Río Negro;687;260;;6;202.168,60;460,058
Salta;1.307;355;33.247.155;6,6;155.340,50;1326,821
San Juan;699;202;23.036.779;3,1;88.296,20;1162,933
San Luis;;148;14.056.915;1,7;75.347,10;879,344
Santa Cruz;379;133;19.517.125;5,1;244.457,50;2242,114
Santa Fe;3.311;1.215;135.661.847;5,4;133.249,10;19162,52
Santiago del Estero;730;213;16.504.869;3.0 ;136.934,30;1545,387
Tucumán;1.403;403;34.757.143;6,3;910.324,40;953,715
Tierra del Fuego;172;60;12.059.449;110;22.592,10;382,966
